,arch,pretrained,family,aro,colorswap,crepe,eqben,imagecode,mmvp_vlm,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,coco_i2t,coco_t2i,flickr_i2t,flickr_t2i,imagenet,21_tasks_avg,comp_avg,i2t_avg,t2i_avg
190,CLIP_ViT-B-16,syn64m,Scaling,39.17502998,10,11.41843137,26.2342046,20.24326672,8.888888889,72.38899712,82.27402458,62.60850798,62.822132,40.64591945,3.75,42.44,26.54538185,73.3,52.78,48.038,41.39420951,36.70411689,57.87,39.66269092
191,CLIP_ViT-B-16,real64m,Scaling,43.93695118,9,15.0095552,28.26332226,22.80625543,12.59259259,73.15630553,85.74309197,63.57665167,66.10637541,41.71516043,4.75,45.94,30.90363854,72.6,55.32,55.128,53.15373032,38.88802181,59.27,43.11181927
192,CLIP_ViT-B-16,synreal64m,Scaling,42.54141442,12.33333333,13.03385999,28.97429445,22.67593397,15.55555556,73.8266422,86.00738219,64.63632497,65.12254337,38.84117948,6.25,48.12,32.16313475,79.9,59.42,56.4,53.95006418,39.14987199,64.01,45.79156737
193,CLIP_ViT-B-16,syn128m,Scaling,39.53981247,10.33333333,11.43574418,26.93961689,21.19895743,8.148148148,73.24191541,83.24176275,62.32193045,63.603723,40.98676074,4.75,43.46,27.62894842,73.6,53.18,51.198,40.25523206,37.14514207,58.53,40.40447421
194,CLIP_ViT-B-16,real128m,Scaling,42.5421259,14.66666667,15.72877045,29.40222509,21.72024327,15.55555556,73.71533479,87.3531808,64.31774073,67.45776771,41.55455346,5.5,49.3,33.93442623,77.1,60.06,61.364,56.85177506,39.9595137,63.2,46.99721311
195,CLIP_ViT-B-16,synreal128m,Scaling,46.55833229,15,14.94820461,30.81278866,23.50130321,11.11111111,75.21987169,87.76399626,66.60117749,65.88521686,40.86539163,6.5,53.08,36.34146341,81.8,63.22,62.858,58.05746134,40.39728282,67.44,49.78073171
196,CLIP_ViT-B-16,syn256m,Scaling,39.91805083,13.66666667,11.45157668,27.31858827,20.85143354,9.62962963,74.52823767,83.8983108,62.70997097,62.79604191,41.13494681,7,47.12,30.12395042,78,58.34,54.42,44.32818492,37.90862115,62.56,44.23197521
197,CLIP_ViT-B-16,real256m,Scaling,44.33658429,16.33333333,15.13176738,30.0130273,23.15377932,15.55555556,75.26518153,88.38753495,66.19251484,68.06782255,41.9607947,7.5,53.54,37.10115954,81.6,64.74,65.398,59.06520866,40.99149131,67.57,50.92057977
198,CLIP_ViT-B-16,synreal256m,Scaling,48.86838957,14.66666667,17.89017746,31.19284507,24.23979149,17.03703704,75.15885681,88.18258861,66.01565598,66.58154222,41.72471333,6.25,56.48,38.09276289,85.6,66.6,65.436,58.47546522,41.48402202,71.04,52.34638145
199,CLIP_ViT-B-16,syn371m,Scaling,39.46499384,16,11.41636868,27.64266161,22.32841008,10.37037037,74.47832336,84.36477136,63.54345771,62.0804366,41.37252082,5,48.46,31.06757297,79.6,58.42,55.7,44.84438497,38.17185954,64.03,44.74378649
200,CLIP_ViT-B-16,real371m,Scaling,43.31441804,15,16.22160797,30.54737693,25.36924414,18.51851852,75.14299138,88.35524704,67.74418191,67.41220461,40.26658613,7.5,55.06,38.04478209,83.2,65.52,66.75,59.89618516,41.28269805,69.13,51.78239104
201,CLIP_ViT-B-16,synreal371m,Scaling,47.06976152,21,16.00199703,31.47140881,24.67419635,14.81481481,75.63998639,88.9159232,66.59559682,67.41565164,40.34251754,7.25,57.24,38.7764894,85.4,67.88,66.558,59.84828089,41.76598784,71.32,53.3282447
